state,number
Andhra Pradesh,4647
Arunachal Pradesh,123
Assam,167
Bihar,6193
Chattisgarh,681
Goa,874
Gujrat,14835
Haryana,937
Himachal Pradesh,320
Jammu and Kashmir,435
Jharkhand,803
Karnataka,15232
Kerela,3940
Madhya Pradesh,3645
Meghalaya,61
Maharashtra,12374
Manipur,334
Mizoram,42
Nagaland,8
Odisha,3251
Punjab,8949
Rajasthan,12664
Sikkim,243
Tamil Nadu,6577
Tripura,100
Telangana,12072
Uttar Pradesh,9280
Uttrakhand,10500
West Bengal,0
Andaman and Nicobar,168
Chandigarh,235
Delhi,4155
Dadra and Nagar Haveli,954
Daman and Diu,128
Puduchery,1495

